season,episode_num_in_season,title,directed_by,written_by,original_air_date,prod_code
1,1,The One Where Monica Gets a Roommate,James Burrows,David Crane & Marta Kauffman,9/22/1994,456650
1,2,The One with the Sonogram at the End,James Burrows,David Crane & Marta Kauffman,9/29/1994,456652
1,3,The One with the Thumb,James Burrows,Jeffrey Astrof & Mike Sikowitz,10/6/1994,456651
1,4,The One with George Stephanopoulos,James Burrows,Alexa Junge,10/13/1994,456654
1,5,The One with the East German Laundry Detergent,Pamela Fryman,Jeff Greenstein & Jeff Strauss,10/20/1994,456653
1,6,The One with the Butt,Arlene Sanford,Adam Chase & Ira Ungerleider,10/27/1994,456655
1,7,The One with the Blackout,James Burrows,Jeffrey Astrof & Mike Sikowitz,11/3/1994,456656
1,8,The One Where Nana Dies Twice,James Burrows,Marta Kauffman & David Crane,11/10/1994,456657
1,9,The One Where Underdog Gets Away,James Burrows,Jeff Greenstein & Jeff Strauss,11/17/1994,456659
1,10,The One with the Monkey,Peter Bonerz,Adam Chase & Ira Ungerleider,12/15/1994,456661
1,11,The One with Mrs. Bing,James Burrows,Alexa Junge,1/5/1995,456660
1,12,The One with the Dozen Lasagnas,Paul Lazarus,Jeffrey Astrof & Mike Sikowitz & Adam Chase & Ira Ungerleider,1/12/1995,456658
1,13,The One with the Boobies,Alan Myerson,Alexa Junge,1/19/1995,456664
1,14,The One with the Candy Hearts,James Burrows,Bill Lawrence,2/9/1995,456667
1,15,The One with the Stoned Guy,Alan Myerson,Jeff Greenstein & Jeff Strauss,2/16/1995,456663
1,16,The One with Two Parts: Part 1,Michael Lembeck,Marta Kauffman & David Crane,2/23/1995,456665A
1,17,The One with Two Parts: Part 2,Michael Lembeck,Marta Kauffman & David Crane,2/23/1995,456665B
1,18,The One with All the Poker,James Burrows,Jeffrey Astrof & Mike Sikowitz,3/2/1995,456662
1,19,The One Where the Monkey Gets Away,Peter Bonerz,Jeffrey Astrof & Mike Sikowitz,3/9/1995,456668
1,20,The One with the Evil Orthodontist,Peter Bonerz,Doty Abrams,4/6/1995,456669
1,21,The One with the Fake Monica,Gail Mancuso,Adam Chase & Ira Ungerleider,4/27/1995,456671
1,22,The One with the Ick Factor,Robby Benson,Alexa Junge,5/4/1995,456670
1,23,The One with the Birth,James Burrows,Story by: David Crane & Marta KauffmanTeleplay by: Jeff Greenstein & Jeff Strauss,5/11/1995,456672
1,24,The One Where Rachel Finds Out,Kevin S. Bright,Chris Brown,5/18/1995,456673
2,1,The One with Ross's New Girlfriend,Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,9/21/1995,457301
2,2,The One with the Breast Milk,Michael Lembeck,Adam Chase & Ira Ungerleider,9/28/1995,457302
2,3,The One Where Heckles Dies,Kevin S. Bright,Michael Curtis & Gregory S. Malins,10/5/1995,457303
2,4,The One with Phoebe's Husband,Gail Mancuso,Alexa Junge,10/12/1995,457305
2,5,The One with Five Steaks and an Eggplant,Ellen Gittelsohn,Chris Brown,10/19/1995,457304
2,6,The One with the Baby on the Bus,Gail Mancuso,Betsy Borns,11/2/1995,457306
2,7,The One Where Ross Finds Out,Peter Bonerz,Michael Borkow,11/9/1995,457307
2,8,The One with the List,Mary Kay Place,David Crane & Marta Kauffman,11/16/1995,457308
2,9,The One with Phoebe's Dad,Kevin S. Bright,Jeffrey Astrof & Mike Sikowitz,12/14/1995,457309
2,10,The One with Russ,Thomas Schlamme,Ira Ungerleider,1/4/1996,457311
2,11,The One with the Lesbian Wedding,Thomas Schlamme,Doty Abrams,1/18/1996,457312
2,12,The One After the Superbowl: Part 1,Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,1/28/1996,457313
