season,episode_num_in_season,title,us_viewers
1,1,The One Where Monica Gets a Roommate,21500000
1,2,The One with the Sonogram at the End,20200000
1,3,The One with the Thumb,19500000
1,4,The One with George Stephanopoulos,19700000
1,5,The One with the East German Laundry Detergent,18600000
1,6,The One with the Butt,18200000
1,7,The One with the Blackout,23500000
1,8,The One Where Nana Dies Twice,21100000
1,9,The One Where Underdog Gets Away,23100000
1,10,The One with the Monkey,19900000
1,11,The One with Mrs. Bing,26600000
1,12,The One with the Dozen Lasagnas,24000000
1,13,The One with the Boobies,25800000
1,14,The One with the Candy Hearts,23800000
1,15,The One with the Stoned Guy,24800000
1,16,The One with Two Parts: Part 1,26100000
1,17,The One with Two Parts: Part 2,30500000
1,18,The One with All the Poker,30400000
1,19,The One Where the Monkey Gets Away,29400000
1,20,The One with the Evil Orthodontist,30000000
1,21,The One with the Fake Monica,28400000
1,22,The One with the Ick Factor,29900000
1,23,The One with the Birth,28700000
1,24,The One Where Rachel Finds Out,31300000
2,1,The One with Ross's New Girlfriend,32100000
2,2,The One with the Breast Milk,29800000
2,3,The One Where Heckles Dies,30200000
2,4,The One with Phoebe's Husband,28100000
2,5,The One with Five Steaks and an Eggplant,28300000
2,6,The One with the Baby on the Bus,30200000
2,7,The One Where Ross Finds Out,30500000
2,8,The One with the List,32900000
2,9,The One with Phoebe's Dad,27800000
2,10,The One with Russ,32200000
2,11,The One with the Lesbian Wedding,31600000
2,12,The One After the Superbowl: Part 1,52900000
2,13,The One After the Superbowl: Part 2,52900000
2,14,The One with the Prom Video,33600000
2,15,The One Where Ross and Rachel... You Know,32900000
2,16,The One Where Joey Moves Out,31100000
2,17,The One Where Eddie Moves In,30200000
2,18,The One Where Dr. Ramoray Dies,30100000
2,19,The One Where Eddie Won't Go,31200000
2,20,The One Where Old Yeller Dies,27400000
2,21,The One with the Bullies,24700000
2,22,The One with the Two Parties,25500000
2,23,The One with the Chicken Pox,26100000
2,24,The One with Barry and Mindy's Wedding,29000000
3,1,The One with the Princess Leia Fantasy,26760000
3,2,The One Where No One's Ready,26730000
3,3,The One with the Jam,25230000
3,4,The One with the Metaphorical Tunnel,26100000
3,5,The One with Frank Jr.,23250000
3,6,The One with the Flashback,23270000
3,7,The One with the Race Car Bed,27360000
3,8,The One with the Giant Poking Device,28690000
3,9,The One with the Football,29280000
3,10,The One Where Rachel Quits,25100000
3,11,The One Where Chandler Can't Remember Which Sister,29800000
3,12,The One with All the Jealousy,29610000
3,13,The One Where Monica and Richard Are Just Friends,28030000
3,14,The One with Phoebe's Ex-Partner,28910000
3,15,The One Where Ross and Rachel Take a Break,27250000
3,16,The One with the Morning After,28260000
3,17,The One Without the Ski Trip,25840000
3,18,The One with the Hypnosis Tape,28070000
3,19,The One with the Tiny T-Shirt,23650000
3,20,The One with the Dollhouse,24360000
3,21,The One with the Chick and the Duck,23220000
3,22,The One with the Screamer,22630000
3,23,The One with Ross's Thing,24170000
3,24,The One with the Ultimate Fighting Champion,23070000
3,25,The One at the Beach,23390000
4,1,The One with the Jellyfish,29430000
4,2,The One with the Cat,25540000
4,3,The One with the 'Cuffs,23980000
4,4,The One with the Ballroom Dancing,24310000
4,5,The One with Joey's New Girlfriend,24350000
4,6,The One with the Dirty Girl,25680000
4,7,The One Where Chandler Crosses the Line,26350000
4,8,The One with Chandler in a Box,26760000
4,9,The One Where They're Going to Party!,23890000
4,10,The One with the Girl from Poughkeepsie,23220000
4,11,The One with Phoebe's Uterus,23660000
4,12,The One with the Embryos,27140000
4,13,The One with Rachel's Crush,25270000
4,14,The One with Joey's Dirty Day,25080000
4,15,The One with All the Rugby,24440000
4,16,The One with the Fake Party,23130000
4,17,The One with the Free Porn,23220000
4,18,The One with Rachel's New Dress,21720000
4,19,The One with All the Haste,21760000
4,20,The One with All the Wedding Dresses,21940000
4,21,The One with the Invitation,21510000
4,22,The One with the Worst Best Man Ever,23150000
4,23,The One with Ross's Wedding,31610000
4,24,The One with Ross's Wedding: Part 2,31610000
5,1,The One After Ross Says Rachel,31120000
5,2,The One with All the Kissing,25360000
